PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT	
4139499a-c7ed-3b60-ab08-f86c7cd3af3b	chlorotetracycline antibiotic; fermentation-batch processes; at processing plant	b0065893-b46f-346f-ad9b-45d54311cb62	chlorotetracycline antibiotic; fermentation-batch pro- cesses; at processing plant	kg	
e0243fb9-6002-447c-b878-ac90d826c22e	Steel plate; Blast furnace route; Production mix; 85% recovery rate	f5fc0230-23b0-41e8-8583-266c8c92f2c6	Steel plate; Blast furnace route; Production mix; 85% recovery rate	kg	
e0243fb9-6002-447c-b878-ac90d826c22e	Steel plate; Blast furnace route; Production mix; 85% recovery rate	6191e72b-9f8a-4c56-be72-6649199a988d	Non-allocated byproducts; Production mix	kg	
91150a40-c29d-4eff-891b-0e3fd56df1a4	Steel reinforcement bar; Blast furnace route; Production mix	6191e72b-9f8a-4c56-be72-6649199a988d	Non-allocated byproducts; Production mix	kg	
91150a40-c29d-4eff-891b-0e3fd56df1a4	Steel reinforcement bar; Blast furnace route; Production mix	be127e1f-720b-4e31-82ee-4499e2714d11	Steel reinforcement bar; Blast furnace route; Production mix	kg	
91150a40-c29d-4eff-891b-0e3fd56df1a4	Steel reinforcement bar; Blast furnace route; Production mix	f24aafe3-8c41-466a-97c8-001dd37c60de	Solid waste; For disposal; Production mix	kg	
c19569ac-f0ab-453a-b70b-43f73bad11f8	Stainless steel; Manufacture; Production mix, at plant; 316 2B, 80% recycled	f24aafe3-8c41-466a-97c8-001dd37c60de	Solid waste; For disposal; Production mix	kg	
e0243fb9-6002-447c-b878-ac90d826c22e	Steel plate; Blast furnace route; Production mix; 85% recovery rate	c6b5d060-66cd-42d0-99dc-669f4baebb57	Solid waste; From steel works, for disposal; Production mix	kg	
c19569ac-f0ab-453a-b70b-43f73bad11f8	Stainless steel; Manufacture; Production mix, at plant; 316 2B, 80% recycled	c6b5d060-66cd-42d0-99dc-669f4baebb57	Solid waste; From steel works, for disposal; Production mix	kg	
c19569ac-f0ab-453a-b70b-43f73bad11f8	Stainless steel; Manufacture; Production mix, at plant; 316 2B, 80% recycled	69fece29-f722-4dc4-acfb-a9cbbebfcb11	Stainless steel; Manufacture; Production mix, at plant; 316 2B, 80% recycled	kg	
5f23939e-be70-364e-95c2-baef329a95fe	Steel, liquid, at plant	2593a8b8-4eff-373f-b50c-cb4cf610ecb7	Steel, liquid, at plant	kg	
49f5324b-fc33-36e9-b5af-3c80d73492bd	Steel, stainless 304, flat rolled coil	3f2fed05-f530-32e9-b0f9-0dcb5280aa9d	Steel, stainless 304, flat rolled coil	kg	
8560388b-7ea1-38b7-befc-fd25d5deb450	Steel, stainless 304, quarto plate	99620b27-83a1-301d-8290-1d94cd81af3f	Steel, stainless 304, quarto plate	kg	
ac54bc7d-5db5-3b4f-9175-5dd02f678312	Steel, billets, at plant	fb35ea76-3255-3543-b943-8e358d2489d5	Steel, billets, at plant	kg	
34897ebd-aa3d-347c-91ee-876c3f835fdb	Steel, stainless 304, scrap	0178afd7-c74a-3a8f-8f15-d57904d3c377	Steel, stainless 304, scrap	kg	
76a47261-8a9c-30a2-93a6-f5a029aded6f	Bauxite, at mine	3ca71da3-edfd-3ad6-b756-f08a12542156	Bauxite, at mine	kg	
88b44b36-2322-39a8-9c54-6b89b1b43cd4	Iron and steel, production mix	e3d97362-bb7a-3a33-acbf-c2d69c622ed0	Iron and steel, production mix	kg	
076898a5-e1ce-3c50-9df4-6445fc0bb6aa	Iron, sand casted	7f83f353-12a6-31fa-9d49-23c6c0ae7863	Iron, sand casted	kg	
eb50f56e-3104-3eb1-8d18-7add74f841e7	Aluminum, secondary, extruded	db6a6bc6-fc77-3d70-ad69-54c6a2ac64fd	Aluminum, secondary, extruded	kg	
a9fd0eec-60dd-3506-8a22-6f8715f80f4e	Aluminum, secondary, shape casted	a0c8c666-421f-30b3-80b4-2ea09817e105	Aluminum, secondary, shape casted	kg	
a8c3ad24-992e-31e0-9e18-fdf0280875df	Lost foam casting, aluminum	dd148031-4f7d-3a55-a0da-f5b96675ae71	Alumimum scrap, at lost foam casting	kg	
