PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT
4475085e-ead5-37d2-8b0d-926f6958f16e	natural stone plate, grounded, at regional storage	8ef70ff2-65cf-348e-b5cf-2180a07128d4	natural stone plate, grounded, at regional storage	kg
6934c7e4-6a79-3614-a167-c8e74285d79c	chlorine, gaseous, lithium chloride electrolysis, at plant	2e61f7be-587d-3710-ad23-6bb7dfcc0292	chlorine, gaseous, lithium chloride electrolysis, at plant	kg
1cccb91c-19ec-32ca-842f-e5cbaa6955ce	packaging glass, white, at plant	f1ad72e0-a07f-3040-8446-efe73ac19744	packaging glass, white, at plant	kg
30d71c81-1e12-342b-9d25-639cc5c9c279	ammonium carbonate, at plant	9d637009-a144-32ca-acf0-452bc4393f14	ammonium carbonate, at plant	kg
0199a98f-583f-349d-9745-6b1444fbc707	disposal, building, plaster-cardboard sandwich, to final disposal	67071467-e506-3a6a-9d83-ebc2c79bb2ff	disposal, building, plaster-cardboard sandwich, to final disposal	kg
638a9135-45fb-3bb2-8814-527d0702b367	chemi-thermomechanical pulp, at plant	5af28afa-8399-32fd-94d0-61a693c09a3c	chemi-thermomechanical pulp, at plant	kg
816dea23-a522-3045-ad07-120caf2f3c56	polystyrene foam slab, at plant	84fcf547-4753-3371-93c5-2654113ec4a6	polystyrene foam slab, at plant	kg
91f57d15-32c2-37ef-8205-1d52f56a796c	sulphur hexafluoride, liquid, at plant	1b50d09d-2703-3ddb-958e-eb80e2a8875f	sulphur hexafluoride, liquid, at plant	kg
6291d64d-afac-3e51-9415-92935167aad8	disposal, polyvinylchloride, 0.2% water, to sanitary landfill	7058ac90-fda2-3523-9098-552b38f4fb0a	disposal, polyvinylchloride, 0.2% water, to sanitary landfill	kg
c7c94218-8a5b-3d27-885c-5dd9d1c04a3c	neodymium oxide, at plant	a1defb20-1b1b-37cd-a744-0873f746f148	neodymium oxide, at plant	kg
e3d5f83f-6a09-3760-a308-2f2d4f021407	straw, from straw areas, at field	a10b3959-b123-3b70-8b3f-10f1cb3ed204	straw, from straw areas, at field	kg
aedbd38a-d76d-39e7-bb68-e0e78b2371f8	gallium, in Bayer liquor from aluminium production, at plant	d2143240-e38c-3855-bb66-e56bb3053392	gallium, in Bayer liquor from aluminium production, at plant	kg
e64bcce2-1a37-38e9-a83a-2cc7f276e5fd	dimethyl ether, at plant	1df51a13-0e34-3602-bf1e-53586ff33966	dimethyl ether, at plant	kg
9107353c-8ad2-3942-9ead-0edfd4577426	trimethylamine, at plant	cb5763f8-470d-37d7-93e6-9c5983a15cbc	trimethylamine, at plant	kg
86a5de84-d087-3b7a-be93-c39da94c7aa7	petrol, 4% vol. ETBE additive, with ethanol from biomass, at refinery	dc54bbf4-0db9-3672-ae7c-1502afd2a664	petrol, 4% vol. ETBE additive, with ethanol from biomass, at refinery	kg
3df41fd5-7d1f-35c1-9b20-2f6d7e5aea3b	fatty alcohol, from palm oil, at plant	db32eec3-d366-3f70-bca8-728afbda69f9	fatty alcohol, from palm oil, at plant	kg
b1c4067b-762a-329f-a882-4203a394853a	sulphur trioxide, at plant	a7193f21-b803-3540-82be-5517498f6e2b	sulphur trioxide, at plant	kg
a3e153d3-edfe-3b38-9cf2-0b2cbcd110b9	rape seed conventional, Saxony-Anhalt, at farm	97019a6c-080c-3510-be74-929f92c1b166	rape seed conventional, Saxony-Anhalt, at farm	kg
d489dfa1-b870-38c0-bd68-04ee3f1a3b46	fodder beets IP, at farm	11cbcd98-8392-3833-a414-17c3ccace164	fodder beets IP, at farm	kg
132c7a8d-475c-390d-8cfe-8b5e0ce98d72	Al fraction, mechanical treatment, printer, laser, at plant	4c336a86-2fd6-3cbd-a775-ee4c61c6b98c	Al fraction, mechanical treatment, printer, laser, at plant	kg
a70354f4-cd86-302c-9666-65f3c433e74e	disposal, PVC sealing sheet, 1.64% water, to municipal incineration	11325c6e-18e5-34cb-bd28-eef28830dc49	disposal, PVC sealing sheet, 1.64% water, to municipal incineration	kg
b233108a-aae5-3176-bcbe-4732f088b3d3	silver, from combined gold-silver production, at refinery	91db4cf6-5663-32eb-8b94-5e3739a83979	silver, from combined gold-silver production, at refinery	kg
37a1bcaa-73df-3fa3-9a53-628021bd142e	ethylene glycol monoethyl ether, at plant	0d9f12d1-cb6e-34e1-bb82-0feaa806b199	ethylene glycol monoethyl ether, at plant	kg
4af43a18-d693-3d52-ae90-480b751ae9d2	nickel, secondary, from electronic and electric scrap recycling, at refinery	d10c29bc-1e19-35d3-be21-2724a92e0d55	nickel, secondary, from electronic and electric scrap recycling, at refinery	kg
8a02ab27-8057-3843-ab33-f413e5ef8625	dismantling, CRT screen, mechanically, at plant	e66529bd-ad5b-3e88-96b7-0a9568a6a3ea	dismantling, CRT screen, mechanically, at plant	kg
78aa0586-a5fc-3ec7-aff7-c621de8d76bf	NOx retained, in SCR	cf17ef6e-fb59-31ba-bb09-be89f704a341	NOx retained, in SCR	kg
1ba2248b-b245-3236-8f75-75b85d5ef0f9	disposal, building, mineral wool, to recycling	17668e2e-c9d0-3334-b45f-4de2a8426a7c	disposal, building, mineral wool, to recycling	kg
73b37d15-0caf-3939-901f-3e7a202939a8	silage maize IP, at farm	3a190393-2a3f-394b-ae35-5ecdf4812a98	silage maize IP, at farm	kg
85bd60c7-6c86-3050-a596-a1f3c609e138	resource correction, PbZn, cadmium, negative	3d136913-0e68-303e-bb35-02da9954f2f2	resource correction, PbZn, cadmium, negative	kg
6bd54eeb-9f80-3d70-ab62-48d0774bfe6b	cobwork, at plant	c857255b-2a60-33a1-ad45-1d7181b11422	cobwork, at plant	kg
1d19ffe8-e118-359c-9877-92c023dc4fe9	cotton seed, at regional storehouse	0899b0eb-f03a-3e49-a6d6-7fb13dcb5019	cotton seed, at regional storehouse	kg
c54939e8-ff7c-33b2-99f2-8171e7489057	light fuel oil, at regional storage	cd2f606b-64fd-32c5-9643-1b371117c6d2	light fuel oil, at regional storage	kg
f679a8e1-6a6b-3c1e-9c11-90719212fa49	extrusion, plastic pipes	f18c4e04-f8ac-35b1-86c0-be1f3c582645	extrusion, plastic pipes	kg
5e9f2b44-875d-31c5-91f8-6f299ad8b7f1	4-methyl-2-pentanone, at plant	c296c8d9-d5b4-38e6-87cc-33694fe0837d	4-methyl-2-pentanone, at plant	kg
e78922ec-c683-317b-8e40-8ccc0cb27b19	tube insulation, elastomere, at plant	b1a90a28-3215-31a1-8960-0c4da5d5a4da	tube insulation, elastomere, at plant	kg
f101db8a-a99e-385f-b58d-1ccca6c14515	steam from direct oxidation of n-butane, at plant	d43d5c0a-fa4f-38d9-939a-a6740e66cc19	steam from direct oxidation of n-butane, at plant	kg
f88200cc-b067-3382-92f3-3fdb75d74d6a	foam glass, at regional storage	fd98c279-a54a-3fcb-8566-60e2c6ba732e	foam glass, at regional storage	kg
f86ea229-5b50-3fdf-9e62-d5c07cf19335	Fe fraction, mechanical treatment, IT accessoires, at plant	14f98e00-13b5-3575-804f-74b3088f94c7	Fe fraction, mechanical treatment, IT accessoires, at plant	kg
a0a0214c-4e56-3d05-88cf-832f980179f5	cathode, aluminium electrolysis	26661508-c50e-37a6-a0ef-bb67854176fe	cathode, aluminium electrolysis	kg
4e7562ae-6802-3e48-b2bd-1b0be2b6b323	rape oil, at oil mill	47d6924c-4969-33d7-881c-cbf52b9fd978	rape oil, at oil mill	kg
9760c971-647f-37df-9c29-3418b27bbf47	packing, cement	8a388398-c231-3f55-9ae0-bfdedeb28dbc	packing, cement	kg
d454022f-346a-3d39-81dd-6f30f3a9b6f7	disposal, copper in car shredder residue, 0% water, to municipal incineration	26974f01-f843-3778-8a32-e645991f5cf9	disposal, copper in car shredder residue, 0% water, to municipal incineration	kg
b25a4340-33e7-3d3f-b761-9915bbe1587f	nylon 6, at plant	3c96230d-ada2-3c09-9ea7-ec57adf65bfa	nylon 6, at plant	kg
d262aba6-ac02-3173-8379-45056bbcae27	ethanol from ethylene, at plant	ee463e69-ab4b-3017-9789-99b29c434693	ethanol from ethylene, at plant	kg
9aee6a13-1e8f-33ff-8c06-e671cd12d1fd	U enriched 3.8%, in fuel element for LWR, at nuclear fuel fabrication plant	a391eaf2-9af3-3b75-8b3f-ef80746e7368	U enriched 3.8%, in fuel element for LWR, at nuclear fuel fabrication plant	kg
8b94e36d-c898-3dd2-807c-0bef0608d6ac	glass cullets, sorted, at sorting plant	90f2cfe2-c414-3e8e-b9aa-ec59ba014155	glass cullets, sorted, at sorting plant	kg
5a991136-25ab-3e92-ad66-a1335ef6d986	disposal, building, reinforced concrete, to sorting plant	17b7106d-9ede-3450-bdd6-bccbbfda7654	disposal, building, reinforced concrete, to sorting plant	kg
6b10e1d7-e914-30f9-a0f6-a8f2fdb7c7f1	metal working factory operation, heat energy from heavy fuel oil	c7c1e0e1-b229-31e2-b943-ab39cd7c9216	metal working factory operation, heat energy from heavy fuel oil	kg
761ddb84-8a50-3742-96b9-b182fe5c6e11	ethanol, 99.7% in H2O, from biomass, production BR, at service station	78da3e07-e194-305c-a281-00e7c388e1b3	ethanol, 99.7% in H2O, from biomass, production BR, at service station	kg
80cc7bb1-221c-352b-a109-1576fc4c7421	Fe fraction, mechanical treatment, LCD screen, at plant	84b87a4b-446a-3f33-9e4b-112da9db1a36	Fe fraction, mechanical treatment, LCD screen, at plant	kg
8679a293-d5ad-334e-ba99-6d80854dabc5	disposal, bitumen, 1.4% water, to sanitary landfill	6fed0ba4-5a43-3265-befd-19a71df06754	disposal, bitumen, 1.4% water, to sanitary landfill	kg
b8503f77-5ff0-35b0-94ce-51ee2627476a	printed wiring board, through-hole mounted, unspec., solder mix, at plant	931e522e-0ca6-3a45-8632-447f2e528cbf	printed wiring board, through-hole mounted, unspec., solder mix, at plant	kg
f7aedebd-341d-395e-b9f9-dc2198df4063	disposal, fluorescent lamps	d32057c6-20fc-3ae9-9110-be30f968d0cc	disposal, fluorescent lamps	kg
bf9d0f31-c186-3b64-94c6-c1596915b7ed	disposal, lignite ash, 0% water, to opencast refill	f2ba2ceb-4e39-34a6-9751-23c280ce43a5	disposal, lignite ash, 0% water, to opencast refill	kg
28c02c28-01ca-334c-9b9d-bf84986c9eb4	rape methyl ester, production RER, at service station	a2d8a4cb-31d1-3dcd-a361-29e5cb7231e9	rape methyl ester, production RER, at service station	kg
b4efeebd-e695-3583-9df9-a288c144c3b4	disposal, polyethylene terephtalate, 0.2% water, to sanitary landfill	6979dd68-c5f5-3d75-8418-cf1cae39797c	disposal, polyethylene terephtalate, 0.2% water, to sanitary landfill	kg
b6d2e653-ac06-3c32-bb21-4c8dae2bdddd	disposal, polystyrene, 0.2% water, to sanitary landfill	4b4407b2-8c7c-36ca-bc8d-8d8f50f216da	disposal, polystyrene, 0.2% water, to sanitary landfill	kg
62b566f9-086e-38c4-8161-6abb33af2436	yeast paste, from whey, at fermentation	8689d004-8b95-3420-8576-232c30000c1c	yeast paste, from whey, at fermentation	kg
0ab2f299-7255-31c2-94ee-7f7e7f224a92	hot impact extrusion, steel, 4 strokes	9f988e5f-4609-3c66-8a7c-3e1e56e683f7	hot impact extrusion, steel, 4 strokes	kg
982da1fb-c4da-31e8-acce-ef42d10859fb	hard coal, at mine	f83d4c5f-39d6-3def-9bc4-f94414fe5f07	hard coal, at mine	kg
69823c08-d52b-3b1e-8133-961812e43dc5	atrazine, at regional storehouse	79159cf3-f023-3c66-8cb0-48363919200d	atrazine, at regional storehouse	kg
f46b685e-34ba-396f-81f8-d4411346609e	resource correction, PbZn, silver, positive	b0aa9987-ebff-3827-933c-7cdbeae1f467	resource correction, PbZn, silver, positive	kg
b3646aab-cd0b-360d-b0d7-33e5ecbc5401	glass cullets, from fluorescent lamps treatment, at plant	7a199973-1a59-3e8f-af76-2bfd26a7d821	glass cullets, from fluorescent lamps treatment, at plant	kg
e74b8b50-0a51-3f33-a728-271e3a101950	chlorine dioxide, at plant	043c3c07-4605-3ea5-8d62-0f2108a6adf4	chlorine dioxide, at plant	kg
24e76a1d-f0d1-3bfc-8e0f-c0ddde2ac69a	gold, primary, at refinery	49f7b168-d783-3cc7-8786-f9877a980f91	gold, primary, at refinery	kg
1e71a24c-508d-3147-8b7b-99da70027d36	packaging film, LDPE, at plant	79bd2e65-3f39-32db-a8f0-4947308fc90b	packaging film, LDPE, at plant	kg
1db51523-106e-3423-a3db-fbcc048cf899	folpet, at regional storage	d49e9cdb-0c16-335e-8cda-d4b0d6604d7f	folpet, at regional storage	kg
9c6b0323-a389-33e3-8828-12eb03a85b83	fungicides, at regional storehouse	832f0b74-aa3d-3ac4-a24d-2c424ae4edfb	fungicides, at regional storehouse	kg
fbd4d7b7-3ea5-30a3-950c-3a107c8110de	manganese concentrate, at beneficiation	8d9e0137-2a0d-3812-8cde-675253fb6d13	manganese concentrate, at beneficiation	kg
97b1cf90-d76b-3e58-9ca8-2447b88721b1	disposal, decarbonising waste, 30% water, to residual material landfill	402e7d14-db3a-3cd5-9bac-fcc8dfe7beca	disposal, decarbonising waste, 30% water, to residual material landfill	kg
82a6cf1c-480f-3486-bbc4-8cf448f7c91c	solid unbleached board, SUB, at plant	ba3f5cd6-5f01-3d00-9bf3-e28509c51133	solid unbleached board, SUB, at plant	kg
209e3f78-6cd3-3d48-8d33-54253c7b82c6	transformer, low voltage use, at plant	99dd02c7-b217-348f-81e0-60b01decd5db	transformer, low voltage use, at plant	kg
02f85ec0-99a2-38fb-955d-75fcac5e1ed2	copper, primary, at refinery	4ab62bc8-e928-3a82-9d8f-94624a1f17a5	copper, primary, at refinery	kg
20efe39e-b8d0-3462-afe6-f4f227370e84	Fe fraction, mechanical treatment, shredder mat. of manual dismantling, at plant	ca60c34a-ea26-380d-a049-fb34ae54e196	Fe fraction, mechanical treatment, shredder mat. of manual dismantling, at plant	kg
73bff9b0-3204-3a49-a064-9cd6b86a94fd	polystyrene, extruded (XPS), at plant	d99018c2-f90f-3df3-b25f-86095ed54e6d	polystyrene, extruded (XPS), at plant	kg
