PROCESS_UUID	PROCESS_NAME	FLOW_UUID	FLOW_NAME	UNIT
68901ca1-a926-39cb-960e-222145eddb61	disposal, lignite ash, 0% water, to opencast refill	c0a64cce-5fe5-3d3c-a21f-88c58e19bc70	disposal, lignite ash, 0% water, to opencast refill	kg
c14bdca3-d668-3b99-8478-d82f948b856e	resource correction, PbZn, silver, negative	d1c4e06f-b964-35c5-abeb-81a6b8dde18c	resource correction, PbZn, silver, negative	kg
8f81f395-60b4-3075-a650-1208658d0d75	fuel elements PWR, UO2 3.8% & MOX, at nuclear fuel fabrication plant	1046cf31-7e98-3517-a432-8627568823cb	fuel elements PWR, UO2 3.8% & MOX, at nuclear fuel fabrication plant	kg
fa1e1ebd-36e2-3ce9-9ab6-415510c5f765	bauxite, at mine	dba0269b-7774-3090-91d6-2fb90f8a82bb	bauxite, at mine	kg
68b28744-5696-3158-a724-00a91d51b156	steel, electric, chromium steel 18/8, at plant	6feeeb41-8692-32ec-894a-a66a32c6a47e	steel, electric, chromium steel 18/8, at plant	kg
9435ec77-bfe2-38fd-ba8a-5e96f7ed034a	sulphuric acid, liquid, at plant	7c8a4c2a-771d-3e7b-933e-b491e2cc9f2b	sulphuric acid, liquid, at plant	kg
d301252d-95d2-3d70-ad2f-1f616e38b4dc	hydrogen, liquid, mercury cell, at plant	81ac368f-94d8-39af-9ab0-bd87d5e6093b	hydrogen, liquid, mercury cell, at plant	kg
d271d225-9a59-3b94-a42f-01cb8cabf573	fuel elements PWR, UO2 3.9% & MOX, at nuclear fuel fabrication plant	85bae05f-7fa4-3dab-979e-7385754e03f9	fuel elements PWR, UO2 3.9% & MOX, at nuclear fuel fabrication plant	kg
dcd2e17d-3361-3067-9ecd-eaba08307f12	disposal, textiles, soiled, 25% water, to municipal incineration	50536a57-4d1d-3fb7-827f-a72f5a0cffcf	disposal, textiles, soiled, 25% water, to municipal incineration	kg
60fef7b1-9ddc-3936-9cb3-f7c962f91c3b	xenon, gaseous, at plant	da6651df-0ff8-3ab6-b2ea-d4b2bb2d3584	xenon, gaseous, at plant	kg
b7945418-7868-3606-8df4-8de427ffd6a3	organophosphorus-compounds, at regional storehouse	1cf73a29-bbfa-335e-9c8a-38e5f3a50c45	organophosphorus-compounds, at regional storehouse	kg
5bacc1e4-decf-3baa-b82d-c3b8e711b651	metal working machine operation, process heat from light fuel oil	15df85d2-c1df-33e7-8d2e-7b865894f7f3	metal working machine operation, process heat from light fuel oil	kg
ee37a109-afde-3e4f-af2e-80500dcbeb84	solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry, at plant	44eae87f-ef83-3ae6-8b57-041b094c12b4	solder, paste, Sn95.5Ag3.9Cu0.6, for electronics industry, at plant	kg
d05d765a-63b1-3aad-b873-71453e214dba	stone meal, at regional storehouse	311ffe31-50ee-384e-b186-7bc9ea68e6d0	stone meal, at regional storehouse	kg
627c5add-bfef-3cdd-9f07-b50600ae2ac5	crude oil, production RME, at long distance transport	4446d216-e4ca-3b11-ba1b-2372bae6b57a	crude oil, production RME, at long distance transport	kg
5e4ceeb2-d209-311a-b37a-a53f3dee4d71	tractor, production	495e1f97-66a8-3db1-9ab1-550310fc24d4	tractor, production	kg
f926b565-a4a1-3bf6-adfb-6ea6ae065d61	disposal, hard coal ash, 0% water, to residual material landfill	f18d059f-b307-3444-af3f-315d4c3c292a	disposal, hard coal ash, 0% water, to residual material landfill	kg
968e650f-d92a-362f-a606-c5d52754c99b	potassium carbonate from manganese dioxide oxidation, at plant	f3efe772-513e-3c42-be35-d77c081b6e02	potassium carbonate from manganese dioxide oxidation, at plant	kg
ffef07cc-2a28-328f-a752-1561924669a9	tar, at coke plant	5190b2c8-7857-32a8-bd99-3ffea076ea0e	tar, at coke plant	kg
1ed47007-0f4b-344e-be81-e85d1c1a898b	silver, from lead production, at refinery	e25c9dff-3b09-3547-8881-70a607db83d7	silver, from lead production, at refinery	kg
41be1255-d330-3570-81a8-289cc255309b	drilling, CNC, aluminium	b50457ce-2b3e-3bee-9737-557533040798	drilling, CNC, aluminium	kg
44464979-87d9-303b-b313-ce241060d633	section bar rolling, steel	e0a16c78-15db-3772-951e-29aae831f968	section bar rolling, steel	kg
40626627-12f7-33d9-a95f-4da07685f862	corrugated board, fresh fibre, single wall, at plant	3a6a0366-9dc8-3d0e-ad5d-0c0f4446059f	corrugated board, fresh fibre, single wall, at plant	kg
fefbf967-5057-30cd-9bc9-966454876cae	wheat grains conventional, Saxony-Anhalt, at farm	f83f4a4b-3d16-3710-867e-8b09a5caeaa3	wheat grains conventional, Saxony-Anhalt, at farm	kg
e66f0fe8-3d12-3d26-9c6e-7b07cccde641	metallization paste, back side, aluminium, at plant	5194a478-f120-319c-95b3-6da002b56805	metallization paste, back side, aluminium, at plant	kg
4fe789c6-0163-3c91-b2cd-5b3308a7ce32	ammonium thiocyanate, at plant	d039652b-0ebb-32f8-8bfd-7121474e7a59	ammonium thiocyanate, at plant	kg
b6fab0e1-e29d-3630-b330-5ba5ba406b32	crude oil, used in drilling tests	f78e78eb-db00-34e5-86fd-4c712d1d9bc6	crude oil, used in drilling tests	kg
ca6d94c2-3033-396e-a955-adbd741f82ad	vegetable oil methyl ester, at esterification plant	f5e9db56-dd98-38c7-8448-b51245f37c32	vegetable oil methyl ester, at esterification plant	kg
c919b8c0-41dc-307a-9cb4-cc8c652b2002	MnO2 powder, pyrometallurgical processing Li-ion batteries, at plant	c3a6f8d5-66e1-3147-89a2-5b029c61dee2	MnO2 powder, pyrometallurgical processing Li-ion batteries, at plant	kg
2785f835-90f2-3137-8e91-1fa9a6e29c62	printed wiring board, mounted, Laptop PC mainboard, Pb containing, at plant	96277690-149f-33d9-b3e5-ad366abc2331	printed wiring board, mounted, Laptop PC mainboard, Pb containing, at plant	kg
83b96016-aacb-3b7a-a8f3-4803ab06cd57	connector, clamp connection, at plant	d728fd88-7470-3eef-a07d-2ad50dfb69a1	connector, clamp connection, at plant	kg
a9826e55-5ab3-307f-abff-e8e905d2bf28	water, decarbonised, at plant	fc10bc50-2353-3c2f-a515-e36892160250	water, decarbonised, at plant	kg
b6afc00c-b465-328d-a5da-1d32957289a4	gallium, semiconductor-grade, at plant	94f8c34c-d3e9-382d-ae4f-c642da4bd2ee	gallium, semiconductor-grade, at plant	kg
dcbd230c-58ba-3903-bf39-0bfbf86f90ab	boron carbide, at plant	3f93de2e-f00b-3dec-84a5-90fbadfcd845	boron carbide, at plant	kg
e21541cf-f4a7-317e-a7ed-11952ca3b23e	shredding, electrical and electronic scrap	74d50541-8777-3839-819c-15929b153605	shredding, electrical and electronic scrap	kg
2fbae852-4af4-3de4-a6c3-0c6a4a48a936	acetic acid from acetaldehyde, at plant	eb31cc88-8543-3733-821c-2e0e25df0080	acetic acid from acetaldehyde, at plant	kg
fb5ea4a2-5018-3ede-82ca-8bd715e3c1a4	fraction 8, from naphtha, at plant	71779f5f-9200-30b5-b274-ecb4dcddde34	fraction 8, from naphtha, at plant	kg
82f6c7b2-acd2-3ea1-bc00-755da7c92fe5	petrol, low-sulphur, at regional storage	e52b5e8e-e5a6-3ef8-aed2-8dbaac8349e1	petrol, low-sulphur, at regional storage	kg
d1c06d6b-c99b-3156-bc41-e422abb872a3	DTPA, diethylenetriaminepentaacetic acid, at plant	210ce05d-c8fb-3c40-b175-a995036a3c55	DTPA, diethylenetriaminepentaacetic acid, at plant	kg
69209a54-3b26-3b97-b757-c1ec541d04f1	crude oil, production GB, at long distance transport	64ff64ba-2f18-3441-906f-bb82b0a0c1a6	crude oil, production GB, at long distance transport	kg
65a3a4dc-808b-362b-9966-d5cb06a7262d	ethoxylated alcohols (AE7), petrochemical, at plant	44415f39-ec5b-3e12-9658-a0e49a1420c9	ethoxylated alcohols (AE7), petrochemical, at plant	kg
1d9202af-b30c-3e39-b98c-6b2a11811dee	calcium chloride, from hypochlorination of allyl chloride, at plant	21ef1525-5767-391f-a387-18c1731d2e9b	calcium chloride, from hypochlorination of allyl chloride, at plant	kg
f88e536e-f6d7-3d08-8815-59ebf307fc0d	wheat IP, at feed mill	0dc70a99-854b-3acb-b52b-4cbee81c892a	wheat IP, at feed mill	kg
c82bd68f-1680-39f0-be48-99a74f85dade	wool, sheep, at farm	f1e6a89f-a471-3f25-b85c-83ac9f1e6160	wool, sheep, at farm	kg
e87b2ee1-6f41-36b3-8c14-4cd3c9da2f02	acetic anhydride from ketene, at plant	6f61d9d8-a9c4-3b92-a0a1-46df3d2f295c	acetic anhydride from ketene, at plant	kg
7bf07d72-1c13-375a-85a7-b85d3a643fc0	rye seed organic, at regional storehouse	432a4f65-d011-3b18-915c-164861f04962	rye seed organic, at regional storehouse	kg
ae8e4cc2-3e09-3b81-950e-8c2816879c55	anhydrite, burned, at plant	f7cae8ba-3520-3038-9c88-753109a92a93	anhydrite, burned, at plant	kg
0a197b20-90a4-3aa1-bd9f-a313cd58a23c	2-butanol, at plant	2556d0e7-e3db-3a7d-b9a3-9415cb394225	2-butanol, at plant	kg
112da32a-568c-39d5-a84d-3a1563d68494	battery, LiIo, rechargeable, prismatic, at plant	9b6b6a2e-2965-3d4d-af06-8da00b171d8c	battery, LiIo, rechargeable, prismatic, at plant	kg
194bf7a3-c9e2-3c5d-a2ba-050cd03c82a0	disposal, plastic plaster, 0% water, to sanitary landfill	2b123956-b632-3f3b-b9fc-60f260d7718e	disposal, plastic plaster, 0% water, to sanitary landfill	kg
7ed9f523-f871-3288-a0d5-b144b26278bc	disposal, refinery sludge, 89.5% water, to hazardous waste incineration	2ec27cef-8c8b-3735-92e1-78908f645dfe	disposal, refinery sludge, 89.5% water, to hazardous waste incineration	kg
f4ff2bbb-175c-366c-9efa-fa523a04b171	disposal, hazardous waste, 25% water, to hazardous waste incineration	42570d08-f547-3bf1-90fe-a2bddadc90f7	disposal, hazardous waste, 25% water, to hazardous waste incineration	kg
0e07d851-2313-33e6-82e5-ae05141b416c	soybean oil, at oil mill	92aa767f-1ea7-3ac6-9c58-418bab83af85	soybean oil, at oil mill	kg
6a6a7cf6-b442-3dde-ab8e-521f504a585d	sunflower IP, at farm	052bf6ed-d458-38e2-99c9-a28811f386b0	sunflower IP, at farm	kg
5a790213-ab48-3c2b-8cad-b04f1813ebe0	turning, chromium steel, CNC, primarily dressing	6ad19612-0e34-39b5-8d8b-3316003e2ad1	turning, chromium steel, CNC, primarily dressing	kg
1f7f666a-555b-3513-af6c-d8af8c3321c4	disposal, building, plastic plaster, to sorting plant	b454d87b-c4b2-3e73-9353-e8a099ab008d	disposal, building, plastic plaster, to sorting plant	kg
ec243978-77ec-3c2a-b3f6-2ca5b4fac89e	potassium carbonate, at plant	2e4291cc-847e-3b21-b9f2-a4f3391db132	potassium carbonate, at plant	kg
c576cc2f-364f-3a56-abbb-c7fc4b647efb	turning, brass, CNC, primarily roughing	e5903557-5a52-3828-a81d-5d56ed035ff2	turning, brass, CNC, primarily roughing	kg
f9089292-1ddc-3d67-a753-9f4ee39f5945	silage maize organic, at farm	d798aeda-fa7b-3648-829d-a16b6ee33dd5	silage maize organic, at farm	kg
0292079c-c6e8-3b07-8084-2779a2cf8bd1	metolachlor, at regional storehouse	07ae60d6-7a89-3e46-bc24-d73d3a8fa8f7	metolachlor, at regional storehouse	kg
05074101-9d97-345e-bcb1-980a989b5da5	bitumen sealing, at plant	3185dadd-d4aa-345a-8152-c16abcd8696f	bitumen sealing, at plant	kg
0f865872-54c2-3730-b186-d171330946ce	acetone from butane, at plant	89f85689-50a5-3deb-b72e-dae298499b8a	acetone from butane, at plant	kg
9554ec23-b19f-388e-a6ac-1596840556af	hard coal, at mine	03a05084-b13b-381f-9d6c-8d976fcb1cff	hard coal, at mine	kg
161cb212-e875-3aee-bf6e-569bc8f18018	fava beans organic, at farm	67f1575f-7f23-307b-9531-e13bff03d309	fava beans organic, at farm	kg
eda85a63-444c-39de-b102-555f8b226a1b	mercury, from fluorescent lamps treatment, at plant	85ec849b-83dd-3380-8b4b-0e053530b0bc	mercury, from fluorescent lamps treatment, at plant	kg
a196c71c-5a9b-327d-b1fa-2248deeed059	ethanol, 99.7% in H2O, from biomass, at distillation	7227870a-fcaf-3b61-a560-e86d9a8d6b57	ethanol, 99.7% in H2O, from biomass, at distillation	kg
5cbd1b91-efa4-310d-9b71-321dfb43de0f	disposal, biowaste, to agricultural co-fermentation, covered	e739bceb-7a3c-3eed-8f4e-85b52e908c96	disposal, biowaste, to agricultural co-fermentation, covered	kg
a62b69ec-e896-3bb4-ae7a-2576a58215f3	printed wiring board, surface mounted, unspec., solder mix, at plant	1d678b5e-b90d-3857-ba86-40bf7e0559db	printed wiring board, surface mounted, unspec., solder mix, at plant	kg
e8b1c97f-4791-3ad2-855e-daba126366d5	chlorothalonil, at regional storage	788e9d0b-c9cd-3934-8749-766992b68bdc	chlorothalonil, at regional storage	kg
b295b594-61d0-3ddd-9bc4-9f231c450964	rhodium, primary, at refinery	9315450a-de5d-366a-b0a9-b50edbe34fdf	rhodium, primary, at refinery	kg
90a632b4-a4c4-3951-86b2-456a6d7b19ed	epoxy resin insulator (Al2O3), at plant	32d509e3-570e-3075-b7c8-ab0d3e83f35f	epoxy resin insulator (Al2O3), at plant	kg
53ec6538-b5f0-3a31-af36-1296120a8fde	disposal, aluminium, 0% water, to municipal incineration	f9672656-cb64-3023-8a34-a12d58077dc5	disposal, aluminium, 0% water, to municipal incineration	kg
c2a34c96-7420-3345-8278-a6cde657c184	turning, aluminium, conventional, primarily dressing	7f72e03d-e8ab-38fa-9853-f05e24025ecd	turning, aluminium, conventional, primarily dressing	kg
ffaff0a6-6def-3c5f-b8d9-8cb6c3b4f81c	ethyl acetate from butane, at plant	270e4401-5769-3ebd-b490-d70ceb7bf526	ethyl acetate from butane, at plant	kg
8d17f5c5-9c3e-393d-87ed-38205b3b4506	steel, converter, chromium steel 18/8, at plant	0d934f93-2e3f-3837-a633-7ad706ea1204	steel, converter, chromium steel 18/8, at plant	kg
258598f5-98de-3e6a-8d6b-43a1f0f485d6	bitumen sealing Alu80, at plant	e6ad4bae-2b03-340e-9691-7ae26d39e378	bitumen sealing Alu80, at plant	kg
9a3913dd-53e9-31b8-9258-a73b9c18294d	copper, at regional storage	c56784ac-814e-3738-91ce-3a2b750ad8c9	copper, at regional storage	kg
6c99d558-d772-341f-896f-b0d9944b4436	cold impact extrusion, aluminium, 2 strokes	d841d27b-2ab1-3488-abbb-97438da36186	cold impact extrusion, aluminium, 2 strokes	kg
aa91956a-86dc-3594-9c7d-84b196c4f3a7	krypton, gaseous, at regional storage	b934f88b-b0ce-32b4-9c57-1a746e135eff	krypton, gaseous, at regional storage	kg
9989cc58-f29f-3490-85c4-150f9c9e28fb	quarry tile, at plant	bcc5fb93-5e74-3aea-823f-a75bc6b2991c	quarry tile, at plant	kg
1c3d1ba0-f528-3939-a1e2-6b90af9ccbae	expanded clay, at plant	5670cb9d-b279-34d1-aa16-96c68f292d8a	expanded clay, at plant	kg
b19fdb69-15fc-32a4-9364-3471d2b4e781	solid manure loading and spreading, by hydraulic loader and spreader	7f69fd41-e22a-338b-b6f2-7306973d8f72	solid manure loading and spreading, by hydraulic loader and spreader	kg
cf86e60e-3253-33a4-a1a3-7751f7dff53b	electronics for control units	936f8ea7-95e1-3841-97cf-c477ce234456	electronics for control units	kg
d7bef821-55c7-3eba-bc32-e30370475c35	phosphane, at plant	dee8d2ca-fb9d-32b3-872b-4c09eb83a000	phosphane, at plant	kg
f2ffac96-817f-3e03-bc82-d570a6ecbd5d	paper, woodfree, uncoated, at integrated mill	3cb12cb2-d8ea-3cd7-b6a9-820d1c939394	paper, woodfree, uncoated, at integrated mill	kg
7ce25504-8fed-3f6d-be45-21dacab88513	petrol, 85% vol. ethanol, from biomass, at service station	64c5aca4-cf47-374a-8443-0011813422b5	petrol, 85% vol. ethanol, from biomass, at service station	kg
2f7221cc-fd2c-33a8-a3ef-66ac5d376655	sodium tetrahydroborate, at plant	89d8ad1a-5426-38dc-a641-12119a8ad440	sodium tetrahydroborate, at plant	kg
3283db65-c3d4-3541-95fb-01bac172eac7	rosin size, in paper production, at plant	71d716e2-2629-35b9-ae02-e8cc70b9eb1f	rosin size, in paper production, at plant	kg
8f3fb02f-1595-3f43-a392-5fdf19c11b1b	glass wool mat, at plant	0973701e-f77a-3fed-b701-3cb01ac6155a	glass wool mat, at plant	kg
188f22a8-b5c3-3718-a393-c664055c264c	parathion, at regional storehouse	f7646cc1-2216-39bf-82b7-2c4304cfc60e	parathion, at regional storehouse	kg
58697a59-249b-3a05-baf7-b4d61f4b6d82	jute fibres, irrigated system, at farm	98ce5919-2433-361c-b755-4f0d81235737	jute fibres, irrigated system, at farm	kg
e6c11ec3-e624-3bd8-ba15-90a4a98d29aa	limestone, crushed, for mill	40160490-df12-3551-be77-24e786e84df4	limestone, crushed, for mill	kg
9860aeb8-d2b1-3a56-badd-d9a12ff13475	fluosilicic acid, 22% in H2O, at plant	bb59e20d-efea-3131-a937-420b35c9c259	fluosilicic acid, 22% in H2O, at plant	kg
50535c92-bc73-3275-bd3e-9749e657c21a	phosphoryl chloride, at plant	867680e7-a40a-3095-96de-876f62871f50	phosphoryl chloride, at plant	kg
b4890cd5-2ea6-37fb-a3e2-18d1d73b6a90	carbon tetrachloride, at plant	8d588af3-89a8-333b-b06d-cb87616f88ca	carbon tetrachloride, at plant	kg
2bd07566-7aeb-321a-b695-f6b5fd46e8e9	disposal, packaging cardboard, 19.6% water, to sanitary landfill	322e50d1-00fd-37f3-a329-4cc77e70c276	disposal, packaging cardboard, 19.6% water, to sanitary landfill	kg
3d16a918-b767-3f7e-ade0-b29f79248866	disposal, hard coal ash, 0% water, to residual material landfill	f75d130b-48be-3b76-95eb-d3136059c592	disposal, hard coal ash, 0% water, to residual material landfill	kg
c2e241ad-f9ff-32ed-b458-9aa3d4e1c54a	soybean methyl ester, production BR, at service station	b28da26e-2bd5-371f-b547-567142768d0e	soybean methyl ester, production BR, at service station	kg
8ae09168-0792-3ec6-9df4-4d1dcdec37f8	titanium dioxide at plant, sulphate process, at plant	2546e970-d17a-3474-b15f-b7ff74aa1089	titanium dioxide at plant, sulphate process, at plant	kg
580ffaed-308a-31c1-ab68-b15114abc91f	methane, 96 vol-%, from biogas, from high pressure network, at service station	da9678b7-0664-3a3e-b396-b1d6d653e1cf	methane, 96 vol-%, from biogas, from high pressure network, at service station	kg
6dfe19a8-18df-3179-bd50-59ba17a590ff	quicklime, milled, packed, at plant	31038a09-9868-340d-b2d4-e09bed99b53a	quicklime, milled, packed, at plant	kg
afc06818-7963-3693-bf65-9aaacf3e3599	hexafluorethane, at plant	244376b4-bae8-36a5-803d-d2c916489db8	hexafluorethane, at plant	kg
33302f39-1416-3489-a40b-0cf92d053cea	platinum, primary, at refinery	c0b3aaea-3704-34a8-a0bd-66592b36a1be	platinum, primary, at refinery	kg
8050a2fd-523a-3475-b35c-65a051799928	copper, primary, at refinery	bf60ea17-bb32-383b-a356-f755e3c520af	copper, primary, at refinery	kg
27b897e9-4333-32d7-a636-e7ab2e8f6c3f	ferrochromium, high-carbon, 68% Cr, at plant	1750f7ef-b43c-3846-b16b-adf7082a5091	ferrochromium, high-carbon, 68% Cr, at plant	kg
ce41631a-ed93-3d05-95cf-df3eda153c92	disposal, lignite ash, 0% water, to opencast refill	b6076d95-5815-3468-b388-34cad4eb595e	disposal, lignite ash, 0% water, to opencast refill	kg
c5a8d66f-d308-3300-8809-57069622ede8	argon, crude, liquid, at plant	57057424-b30a-3c8e-b754-c1af5ab44efe	argon, crude, liquid, at plant	kg
4dccf246-fe9d-39d5-86b1-2758d87ff707	paper, wood-containing, supercalendred (SC), at regional storage	7abdd811-2d75-36e2-b0aa-69f50c23a8e4	paper, wood-containing, supercalendred (SC), at regional storage	kg
e7baeed9-8d99-3c92-bc2d-c8e1774e9a56	polystyrene, extruded (XPS) CO2 blown, at plant	55b8f71a-8273-337a-8e5c-cc83ebcbee9b	polystyrene, extruded (XPS) CO2 blown, at plant	kg
96277df8-91cc-3682-88eb-90652177ff7b	metal working machine, unspecified, at plant	b930bbf0-213c-31f1-b743-54525d996183	metal working machine, unspecified, at plant	kg
494eaf51-d8fa-3a5b-8296-ec559cf4c306	disposal, used mineral oil, 10% water, to hazardous waste incineration	887838a0-496b-3110-9a70-61324484bf50	disposal, used mineral oil, 10% water, to hazardous waste incineration	kg
98023d8f-15e7-3f97-92af-67578316b0da	urea formaldehyde foam, in situ foaming, at plant	66edc668-46e5-3d0e-9ccf-03283a84aa3c	urea formaldehyde foam, in situ foaming, at plant	kg
ab0cd09c-a54c-3a56-8448-266ae0892cf0	grain drying, low temperature	3ef53ee2-a641-32ad-a77a-29defb685389	grain drying, low temperature	kg
bab0e65f-c5ea-35f9-a030-35cbe302bd91	Co powder, hydrometallurgical processing Li-ion batteries, at plant	7e7107ee-a36b-3bee-b61b-fbebe2bb55b8	Co powder, hydrometallurgical processing Li-ion batteries, at plant	kg
508b9ff8-9c53-3a94-955e-637bd7245a30	copper, secondary, from cable treatment, at plant	fdccfc41-dcbc-3c20-a474-f282a7f58afa	copper, secondary, from cable treatment, at plant	kg
4c1ec2cd-3c0f-3e10-b812-2695a340f3a5	magnetite, at plant	cfdc0912-3b80-3cd9-8fdd-63288b4d01a6	magnetite, at plant	kg
85542d5f-36c3-355b-acb1-9291a48c1d8a	disposal, residues, mechanical treatment, desktop computer, in MSWI	9d6c69fc-5621-310f-9a8e-51e8e0802696	disposal, residues, mechanical treatment, desktop computer, in MSWI	kg
352affe5-4366-3ba4-8343-b8a07c5c4c86	chlorine, liquid, production mix, at plant	f13f1a44-3a37-3408-a716-59c2c67080e0	chlorine, liquid, production mix, at plant	kg
f7d20a25-b73a-318b-94df-82c59afcd17e	sodium borates, at plant	7bbfb934-2041-3dc1-a283-49b550fe4c68	sodium borates, at plant	kg
84b8b8b6-57a9-3026-9396-d04b638d2ebb	pulps, from sugar beet, at sugar refinery	c0150dad-1f9b-3b22-a4e5-53129ce8702b	pulps, from sugar beet, at sugar refinery	kg
c8f75bef-02e0-3170-bf98-9ce7eba42020	prosulfocarb, at regional storage	a47e9669-720a-363f-8e30-ac6507493bb5	prosulfocarb, at regional storage	kg
149ae2ef-d347-36e5-ac33-7c5c9f0db3bf	formaldehyde, production mix, at plant	574f886e-e352-3b44-9d86-3c1ea82a542d	formaldehyde, production mix, at plant	kg
946a48c5-b4d0-34ee-a327-4d2667754574	resistor, unspecified, at plant	89dcfba8-322c-3e17-8944-e2c5c58cb118	resistor, unspecified, at plant	kg
92072ac2-7aa5-3abd-955d-f9546c9ab0ce	casting, brass	3bff9a6e-6e29-3ce1-906c-7ee9e648fdec	casting, brass	kg
7f42da0a-51c0-3d47-92d1-7f4e91dd0128	cerium concentrate, 60% cerium oxide, at plant	eb08dba5-7b6a-383a-9cfe-16006d84fa67	cerium concentrate, 60% cerium oxide, at plant	kg
5f5fd5ce-e345-3830-abb6-4c5ce46f82c8	kenaf fibres, at farm	78283d94-ab2b-383c-b0eb-44a7813e6ede	kenaf fibres, at farm	kg
846db0c7-9c8f-31f8-a6ec-ff478d3c625b	zinc concentrate, at beneficiation	4c60c67a-6a21-3f83-8d1b-915cd24eda98	zinc concentrate, at beneficiation	kg
f8f4b005-a949-3739-92da-02f8eab698ce	gold, at refinery	77f923dd-f1f2-35b1-a576-1cd383a03b04	gold, at refinery	kg
bb444783-fd39-332b-ba0b-61fac44b9ba1	diuron, at regional storehouse	988acba3-f99e-38b5-8550-46814c9c1528	diuron, at regional storehouse	kg
ef6ce423-faf4-35df-b545-4b1ed3d9b2b4	acetylene, at regional storehouse	27dc99eb-ad7f-379e-9dbf-fc2bb6580ea5	acetylene, at regional storehouse	kg
d45ffb84-3d66-381e-8ac1-0509e16569bc	aluminium scrap, new, at plant	c72b0bb7-9350-398c-ba53-0b77e1f31f4c	aluminium scrap, new, at plant	kg
8fc5c4d1-8149-3a61-8f36-8f0c8ab195a8	disposal, refinery sludge, 89.5% water, to landfarming	248f9cb9-4bcf-3e1d-81f0-33bb21aa9a5f	disposal, refinery sludge, 89.5% water, to landfarming	kg
e002e43c-9c56-3dea-9bce-a728af5f0cca	disposal, inert material, 0% water, to sanitary landfill	e629efc2-eaa9-33e5-93ef-31be5f44db4a	disposal, inert material, 0% water, to sanitary landfill	kg
189d7524-1e89-306e-ab89-88b140dcd634	silicon, production mix, photovoltaics, at plant	7c6a6b28-416e-358c-a07c-9dc462d358e7	silicon, production mix, photovoltaics, at plant	kg
c66e5bd1-cf55-303b-a425-d9b5eef3321b	dismantling, desktop computer, manually, at plant	fee8ac7c-0e2e-3865-afd6-979f6ebef545	dismantling, desktop computer, manually, at plant	kg
89beba21-3d36-3137-9e9d-75cdd19d3f86	horn meal, at regional storehouse	79ed1ed0-19e5-33aa-b8e4-14c73f0135ae	horn meal, at regional storehouse	kg
b6a67361-4ff0-3cef-9755-060ebadc4609	trichloroethylene, at plant	f729a2f5-8f45-3773-bd3d-dd5aae5223a7	trichloroethylene, at plant	kg
75e14424-bc91-3eec-8e72-1cd0cb8ab764	ethylene glycol diethyl ether, at plant	033b1b62-6db9-36d1-8611-d2a27e14828c	ethylene glycol diethyl ether, at plant	kg
12994f4e-da0e-3a77-948c-6e75db5f2279	fleece, polyethylene, at plant	3830d5c8-bb4e-3caf-bddf-aac65011eb7a	fleece, polyethylene, at plant	kg
e9f07380-6f36-3562-8d5b-4c09220e27ed	diethylene glycol, at plant	fd8abb30-ee3c-3f20-98a2-dc26ae8aec38	diethylene glycol, at plant	kg
0e741e97-4271-3902-a2ba-0bf1aa199050	fluorescent whitening agent distyrylbiphenyl type, at plant	2693355c-96cf-3ba8-87a8-d7765defe65b	fluorescent whitening agent distyrylbiphenyl type, at plant	kg
b77fdc45-6a20-3662-b5f6-2971d24993c0	lime, hydraulic, at plant	10e1c8d9-c866-3d50-9447-8a97bbca1e5f	lime, hydraulic, at plant	kg
2423ecff-03af-3a6e-a1ae-47cb901ade77	lithium carbonate, at plant	e935a4a4-13a6-3eb3-88ad-900b40f0582f	lithium carbonate, at plant	kg
18de8994-2447-3117-a7cc-da45b1a500b1	epoxy resin, liquid, at plant	5955d55c-29e0-3057-9e30-576a86efa7b0	epoxy resin, liquid, at plant	kg
65bea3a3-5415-3b88-a04c-d1fa12ffa1e9	bronze, at plant	de401eaa-8a58-3b60-ad69-8f83a8a435e9	bronze, at plant	kg
3a728631-e7b9-3304-9e2f-529eb9ef5141	dinitroaniline-compounds, at regional storehouse	4b648cf7-2dac-3396-89e1-3c2d96406b14	dinitroaniline-compounds, at regional storehouse	kg
009c5c6a-294a-3f15-b7db-f2c79c869a8e	potatoes IP, at farm	11152e29-ad98-30be-9e7f-58dff9bdb709	potatoes IP, at farm	kg
d7464f00-c8b2-3029-8430-13744a5c5d34	DAS-1, fluorescent whitening agent triazinylaminostilben type, at plant	aa714029-710b-3ffd-ad7a-b30a7c9a16d9	DAS-1, fluorescent whitening agent triazinylaminostilben type, at plant	kg
521970eb-27a5-3a61-b8c1-6e6aee97b592	resource correction, CuMo, copper, negative	6b0c0c50-6cab-38a2-8981-ef6a84100a65	resource correction, CuMo, copper, negative	kg
34279ffe-b997-3ce0-853b-24f6786a8304	corrugated board, recycling fibre, double wall, at plant	545410cd-dfb5-3980-a9bb-86aeea80141a	corrugated board, recycling fibre, double wall, at plant	kg
776ef4f7-2498-3b52-be76-41c3b6f3165c	glass cullets, funnel glass, for CRT glass production, at plant	4cec9550-2eff-3958-b498-108f8aca3524	glass cullets, funnel glass, for CRT glass production, at plant	kg
321e8892-6418-398b-af01-cbbd9be7eb91	dimethenamide, at regional storage	bfc381c3-5487-3b4d-bb0f-9fdd92abf681	dimethenamide, at regional storage	kg
